variant,participant,loss
drop_gaze_dispersion_2d_px,P9,-0.015651874785001685
drop_gaze_dispersion_2d_px,P13,0.0037241661551054017
drop_gaze_dispersion_2d_px,P21,0.010791436597888227
drop_gaze_dispersion_2d_px,P26,0.00952380952380949
drop_gaze_dispersion_2d_px,P34,0.003061224489795844
drop_gaze_dispersion_2d_px,P44,-0.0036830200764627063
drop_gaze_path_length_px,P22,0.017475467132679112
drop_gaze_path_length_px,P24,-0.0038647667697273014
drop_gaze_path_length_px,P30,0.0016242830313181744
drop_gaze_path_length_px,P43,-0.016564075387604904
drop_gaze_path_length_px,P48,0.0033840947546531774
drop_gaze_path_length_px,P12,-0.0043290043290044045
drop_gaze_path_length_px,P19,0.010495283018867874
drop_gaze_path_length_px,P2,0.007911323625298838
drop_gaze_path_length_px,P35,0.018518518518518434
drop_gaze_path_length_px,P40,0.0020323663813779924
drop_gaze_path_length_px,P18,-0.02972399150743099
drop_gaze_path_length_px,P27,-0.010864404412791628
drop_gaze_path_length_px,P36,-0.009838728390764606
drop_gaze_path_length_px,P46,0.012755102040816313
drop_gaze_path_length_px,P8,0.035034556087187696
drop_gaze_path_length_px,P20,-0.020083843359705478
drop_gaze_path_length_px,P3,-0.010351966873705987
drop_gaze_path_length_px,P33,0.013725490196078494
drop_gaze_path_length_px,P4,0.01307189542483661
drop_gaze_path_length_px,P9,0.009872721018231945
drop_gaze_path_length_px,P13,0.011049723756906105
drop_gaze_path_length_px,P21,0.021495689237624738
drop_gaze_path_length_px,P26,-0.015238095238095328
drop_gaze_path_length_px,P34,0.009183673469387754
drop_gaze_path_length_px,P44,-0.0018415100382314087
drop_fixation_count,P22,-0.04818075906259811
drop_fixation_count,P24,-0.00965631581305737
drop_fixation_count,P30,0.010126389523374468
drop_fixation_count,P43,0.0045316810022691945
drop_fixation_count,P48,0.0033840947546530664
drop_fixation_count,P12,-0.006535400083787224
drop_fixation_count,P19,0.014609538784067067
drop_fixation_count,P2,-0.021814098384409175
drop_fixation_count,P35,-0.02222222222222231
drop_fixation_count,P40,-0.0511499911636244
drop_fixation_count,P18,-0.010615711252653981
drop_fixation_count,P27,-0.01505376344086029
drop_fixation_count,P36,0.015558649495301002
drop_fixation_count,P46,-0.05484693877551017
drop_fixation_count,P8,-0.007868155236576246
drop_fixation_count,P20,-0.0158170373687615
drop_fixation_count,P3,-0.010351966873705987
drop_fixation_count,P33,0.009838321293429653
drop_fixation_count,P4,-0.004357298474945481
drop_fixation_count,P9,0.003944501777319143
drop_fixation_count,P13,-0.009269490484960063
drop_fixation_count,P21,-9.687106461264694e-06
drop_fixation_count,P26,-0.0019047619047620201
drop_fixation_count,P34,-0.013575865128660158
drop_fixation_count,P44,0.0018615264516904095
drop_fixation_total_ms,P22,0.01364430703051478
drop_fixation_total_ms,P24,-0.003831160102164388
drop_fixation_total_ms,P30,0.005008206013231098
drop_fixation_total_ms,P43,0.0
drop_fixation_total_ms,P48,0.0016920473773264777
drop_fixation_total_ms,P12,-0.008518363357073011
drop_fixation_total_ms,P19,-0.008372641509434009
